Temperature (in $^oC$),$V_R$,$V_C$,Capacitance (in nF),,
21.3,3.92,1.95,0.62,,
50,3.95,1.95,0.63,,
55,3.95,1.94,0.65,,
60,3.96,1.93,0.64,,
65,3.97,1.91,0.67,,
70,3.98,1.89,0.68,,
75,4,1.85,0.71,,
80,4.03,1.85,0.73,,
85,4.06,1.82,0.78,,
90,4.10,1.75,0.82,,
91,0.12,1.67,0.86,,
93,4.15,1.63,0.9,,
95,4.12,1.57,0.93,,
97,4.13,1.57,0.97,,
99,4.15,1.57,1.01,,
100,4.19,1.57,1.03,,
101,4.25,1.58,1.04,,
102,4.24,1.59,1.05,,
103,4.24,1.6,1.06,,
104,4.20,1.61,1.07,,
105,4.33,1.62,1.08,,
106,4.25,1.6,1.1,,
107,4.24,1.56,1.11,,
108,4.25,1.54,1.11,,
109,4.26,1.54,1.1,,
110,4.32,1.59,1.08,,
111,4.33,1.61,1.07,,
112,4.37,1.62,1.06,,
113,4.33,1.62,1.04,,
114,4.28,1.6,1.01,,
115,4.20,1.58,0.98,,
116,4.18,1.57,0.96,,
115,4.21,1.59,0.99,,
114,4.20,1.6,1.01,,
113,4.21,1.61,1.03,,
112,4.25,1.62,1.05,,
111,4.23,1.63,1.07,,
110,4.29,1.62,1.09,,
109,4.26,11.62,1.1,,
108,4.24,1.58,1.11,,
107,4.25,1.58,1.11,,
106,4.25,1.54,1.11,,
105,4.21,1.37,1.12,,
103,4.26,1.58,1.09,,
102,4.21,1.59,1.08,,
101,4.25,1.6,1.07,,
100,4.2,1.57,1.05,,
99,4.15,1.56,1.03,,
97,4.2,1.54,1.00,,
95,4.17,1.54,0.95,,
93,4.15,1.51,0.92,,
91,4.07,1.5,0.88,,
90,4.07,1.49,0.86,,
85,4.04,1.45,0.8,,
75,3.58,1.43,0.73,,
70,3.96,2.12,0.7,,
graph(0;3),,,,,
